date,expiry
2007-10-30,2008-01-10
2007-11-30,2008-02-14
2008-01-30,2008-03-13
2008-02-01,2008-04-10
2008-02-29,2008-05-08
2008-03-28,2008-06-12
2008-04-30,2008-07-10
2008-05-30,2008-08-14
2008-06-30,2008-09-11
2008-07-30,2008-10-09
2008-08-29,2008-11-13
2008-10-01,2008-12-11
2008-10-31,2009-01-08
2008-12-01,2009-02-12
2008-12-30,2009-03-12
2009-01-30,2009-04-09
2009-02-27,2009-05-14
2009-04-01,2009-06-11
2009-04-30,2009-07-09
2009-06-01,2009-08-13
2009-07-01,2009-09-10
2009-07-31,2009-10-08
2009-09-01,2009-11-12
2009-10-01,2009-12-10
2009-10-30,2010-01-14
2009-12-01,2010-02-11
2009-12-30,2010-03-11
2010-02-01,2010-04-08
2010-02-26,2010-05-13
2010-04-01,2010-06-10
2010-04-30,2010-07-08
2010-06-01,2010-08-12
2010-07-01,2010-09-09
2010-07-30,2010-10-14
2010-09-01,2010-11-11
2010-10-01,2010-12-09
2010-11-01,2011-01-13
2010-12-01,2011-02-10
2010-12-30,2011-03-10
2011-02-01,2011-04-14
2011-02-28,2011-05-12
2011-04-01,2011-06-09
2011-04-29,2011-07-14
2011-06-01,2011-08-11
2011-07-01,2011-09-08
2011-08-01,2011-10-13
2011-09-01,2011-11-10
2011-09-30,2011-12-08
2011-11-01,2012-01-12
2011-12-01,2012-02-09
2011-12-29,2012-03-08
2012-02-01,2012-04-12
2012-02-29,2012-05-10
2012-03-30,2012-06-14
2012-04-30,2012-07-12
2012-06-01,2012-08-09
2012-06-29,2012-09-13
2012-08-01,2012-10-11
2012-08-31,2012-11-08
2012-09-28,2012-12-13
2012-09-28,2013-01-10
2012-11-01,2013-02-14
2012-11-30,2013-03-14
2013-02-01,2013-04-11
2013-02-28,2013-05-09
2013-04-01,2013-06-13
2013-04-30,2013-07-11
2013-05-31,2013-08-08
2013-07-01,2013-09-12
2013-08-01,2013-10-10
2013-08-30,2013-11-14
2013-10-01,2013-12-12
2013-11-01,2014-01-09
2013-11-29,2014-02-13
2013-12-30,2014-03-13
2014-01-29,2014-04-10
2014-02-28,2014-05-08
2014-04-01,2014-06-12
2014-04-30,2014-07-10
2014-05-30,2014-08-14
2014-07-01,2014-09-11
2014-08-01,2014-10-08
2014-09-01,2014-11-13
2014-10-01,2014-12-11
2014-10-31,2015-01-08
2014-12-01,2015-02-12
2014-12-30,2015-03-12
2015-01-30,2015-04-09
2015-02-27,2015-05-14
2015-04-01,2015-06-11
2015-04-30,2015-07-09
2015-06-01,2015-08-13
2015-07-01,2015-09-10
2015-07-31,2015-10-08
2015-09-01,2015-11-12
2015-10-01,2015-12-10
2015-10-30,2016-01-14
2015-12-01,2016-02-11
2015-12-30,2016-03-10
2016-02-01,2016-04-14
2016-02-29,2016-05-12
2016-04-01,2016-06-09
2016-04-29,2016-07-14
2016-06-01,2016-08-11
2016-07-01,2016-09-08
2016-08-01,2016-10-13
2016-09-01,2016-11-10
2016-09-30,2016-12-08
2016-11-01,2017-01-12
2016-12-01,2017-02-09
2016-12-29,2017-03-09
2017-02-01,2017-04-13
2017-02-28,2017-05-11
2017-03-31,2017-06-08
2017-04-28,2017-07-13
2017-06-01,2017-08-10
2017-06-30,2017-09-14
2017-08-01,2017-10-12
2017-09-01,2017-11-09
2017-09-29,2017-12-14
2017-11-01,2018-01-11
2017-12-01,2018-02-08
2017-12-28,2018-03-08
2018-02-01,2018-04-12
2018-02-28,2018-05-10
2018-03-30,2018-06-14
2018-04-30,2018-07-12
2018-06-01,2018-08-09
2018-06-29,2018-09-13
2018-08-01,2018-10-11
2018-08-31,2018-11-08
2018-10-01,2018-12-13
2018-11-01,2019-01-10
2018-11-30,2019-02-14
2018-12-28,2019-03-14
2019-02-01,2019-04-11
2019-02-28,2019-05-09
2019-04-01,2019-06-13
2019-04-30,2019-07-11
2019-05-31,2019-08-08
2019-07-01,2019-09-11
2019-08-01,2019-10-10
2019-08-30,2019-11-14
2019-10-01,2019-12-12
2019-11-01,2020-01-09
2019-11-29,2020-02-13
2019-12-30,2020-03-12
2020-01-31,2020-04-09
2020-02-28,2020-05-14
2020-04-01,2020-06-11
2020-04-29,2020-07-09
2020-06-01,2020-08-13
2020-07-01,2020-09-10
2020-07-31,2020-10-08
2020-09-01,2020-11-12
2020-09-29,2020-12-10
2020-10-30,2021-01-14
2020-12-01,2021-02-10
2020-12-30,2021-03-11
2021-02-01,2021-04-08
2021-02-26,2021-05-13
2021-04-01,2021-06-10
2021-04-30,2021-07-08
2021-06-01,2021-08-12
2021-07-01,2021-09-09
2021-07-30,2021-10-14
2021-09-01,2021-11-11
2021-10-01,2021-12-09
2021-11-01,2022-01-13
2021-12-01,2022-02-10
2021-12-30,2022-03-10
2022-01-28,2022-04-14
2022-02-28,2022-05-12
2022-04-01,2022-06-09
2022-04-29,2022-07-14
2022-05-31,2022-08-11
2022-07-01,2022-09-08
2022-08-01,2022-10-13
2022-09-01,2022-11-10
2022-09-30,2022-12-08
2022-09-30,2023-01-12
2022-09-30,2023-02-09
2022-09-30,2023-03-09
2022-09-30,2023-04-13
2022-09-30,2023-05-11
2022-09-30,2023-06-08
2022-09-30,2023-07-13
